"","STATE.UT","Year","CAUSE","Male.upto.14.years","Male.15.29.years","Male.30.44.years","Male.45.59.years","Male.60.years.and.above","Total.Male","Female.upto.14.years","Female.15.29.years","Female.30.44.years","Female.45.59.years","Female.60.years.and.above","Total.Female","Transgender.upto.14.years","Transgender.15.29.years","Transgender.30.44.years","Transgender.45.59.years","Transgender.60.years.and.above","Total.Transgender","Grand.Total"
"373","CHANDIGARH",2001,"Total",0,20,15,2,2,39,0,18,11,2,0,31,0,0,0,0,0,0,70
"374","CHANDIGARH",2002,"Total",1,23,26,3,0,53,1,23,7,1,2,34,0,0,0,0,0,0,87
"375","CHANDIGARH",2003,"Total",0,30,27,8,3,68,1,22,8,2,2,35,0,0,0,0,0,0,103
"376","CHANDIGARH",2004,"Total",0,23,21,7,1,52,0,19,2,2,0,23,0,0,0,0,0,0,75
"377","CHANDIGARH",2005,"Total",2,33,18,10,0,63,1,15,6,4,0,26,0,0,0,0,0,0,89
"378","CHANDIGARH",2006,"Total",0,26,26,3,1,56,2,14,6,1,1,24,0,0,0,0,0,0,80
"379","CHANDIGARH",2007,"Total",2,26,21,8,3,60,0,11,8,1,2,22,0,0,0,0,0,0,82
"380","CHANDIGARH",2008,"Total",0,22,19,16,1,58,0,16,7,2,0,25,0,0,0,0,0,0,83
"381","CHANDIGARH",2009,"Total",0,16,18,8,2,44,1,18,9,1,2,31,0,0,0,0,0,0,75
"382","CHANDIGARH",2010,"Total",0,14,12,4,1,31,2,25,10,2,1,40,0,0,0,0,0,0,71
"383","CHANDIGARH",2011,"Total",0,24,19,13,1,57,0,31,14,3,0,48,0,0,0,0,0,0,105
"384","CHANDIGARH",2012,"Total",2,33,31,8,1,75,1,29,8,0,1,39,0,0,0,0,0,0,114
"385","D & N HAVELI",2001,"Total",0,10,10,7,8,35,1,9,4,1,0,15,0,0,0,0,0,0,50
"386","D & N HAVELI",2002,"Total",1,9,8,9,5,32,0,11,3,2,2,18,0,0,0,0,0,0,50
"387","D & N HAVELI",2003,"Total",2,8,8,7,5,30,0,6,7,9,0,22,0,0,0,0,0,0,52
"388","D & N HAVELI",2004,"Total",0,7,6,4,3,20,0,12,5,1,1,19,0,0,0,0,0,0,39
"389","D & N HAVELI",2005,"Total",0,16,13,6,6,41,0,12,8,7,1,28,0,0,0,0,0,0,69
"390","D & N HAVELI",2006,"Total",0,8,5,3,7,23,1,8,6,2,2,19,0,0,0,0,0,0,42
"391","D & N HAVELI",2007,"Total",0,15,14,7,8,44,0,19,8,4,1,32,0,0,0,0,0,0,76
"392","D & N HAVELI",2008,"Total",1,11,11,8,1,32,0,15,6,6,1,28,0,0,0,0,0,0,60
"393","D & N HAVELI",2009,"Total",0,10,10,8,2,30,0,14,4,1,7,26,0,0,0,0,0,0,56
"394","D & N HAVELI",2010,"Total",0,14,12,6,5,37,0,18,4,4,0,26,0,0,0,0,0,0,63
"395","D & N HAVELI",2011,"Total",0,23,8,9,1,41,0,13,5,3,1,22,0,0,0,0,0,0,63
"396","D & N HAVELI",2012,"Total",0,17,16,5,3,41,0,18,2,2,3,25,0,0,0,0,0,0,66
"397","DAMAN & DIU",2001,"Total",0,4,6,0,0,10,0,4,0,0,0,4,0,0,0,0,0,0,14
"398","DAMAN & DIU",2002,"Total",0,4,9,1,1,15,0,1,1,0,0,2,0,0,0,0,0,0,17
"399","DAMAN & DIU",2003,"Total",1,7,8,2,0,18,0,3,2,1,0,6,0,0,0,0,0,0,24
"400","DAMAN & DIU",2004,"Total",0,1,3,1,0,5,0,8,0,0,0,8,0,0,0,0,0,0,13
"401","DAMAN & DIU",2005,"Total",1,10,4,10,0,25,0,5,2,0,0,7,0,0,0,0,0,0,32
"402","DAMAN & DIU",2006,"Total",0,7,5,1,1,14,3,4,1,0,0,8,0,0,0,0,0,0,22
"403","DAMAN & DIU",2007,"Total",0,3,1,2,0,6,0,7,2,0,0,9,0,0,0,0,0,0,15
"404","DAMAN & DIU",2008,"Total",0,4,4,6,0,14,0,1,0,1,3,5,0,0,0,0,0,0,19
"405","DAMAN & DIU",2009,"Total",0,8,2,3,2,15,1,1,5,1,0,8,0,0,0,0,0,0,23
"406","DAMAN & DIU",2010,"Total",3,8,6,2,0,19,0,10,2,0,0,12,0,0,0,0,0,0,31
"407","DAMAN & DIU",2011,"Total",1,7,6,4,0,18,0,13,1,1,0,15,0,0,0,0,0,0,33
"408","DAMAN & DIU",2012,"Total",0,6,13,6,0,25,1,5,5,0,0,11,0,0,0,0,0,0,36
"409","DELHI (UT)",2001,"Total",15,315,260,115,25,730,28,282,157,31,11,509,0,0,0,0,0,0,1239
"410","DELHI (UT)",2002,"Total",15,301,218,93,16,643,16,241,126,23,4,410,0,0,0,0,0,0,1053
"411","DELHI (UT)",2003,"Total",18,328,278,90,27,741,19,235,112,41,5,412,0,0,0,0,0,0,1153
"412","DELHI (UT)",2004,"Total",19,342,298,120,20,799,17,283,117,24,16,457,0,0,0,0,0,0,1256
"413","DELHI (UT)",2005,"Total",8,370,264,111,24,777,13,281,140,26,8,468,0,0,0,0,0,0,1245
"414","DELHI (UT)",2006,"Total",9,449,340,139,23,960,16,335,148,28,5,532,0,0,0,0,0,0,1492
"415","DELHI (UT)",2007,"Total",13,431,375,115,32,966,15,346,128,18,8,515,0,0,0,0,0,0,1481
"416","DELHI (UT)",2008,"Total",16,371,286,97,25,795,18,347,115,25,3,508,0,0,0,0,0,0,1303
"417","DELHI (UT)",2009,"Total",15,457,325,108,28,933,19,360,125,33,7,544,0,0,0,0,0,0,1477
"418","DELHI (UT)",2010,"Total",16,429,339,130,47,961,24,363,150,36,9,582,0,0,0,0,0,0,1543
"419","DELHI (UT)",2011,"Total",18,622,367,127,34,1168,19,343,135,38,13,548,0,0,0,0,0,0,1716
"420","DELHI (UT)",2012,"Total",26,621,426,137,36,1246,31,409,159,41,13,653,0,0,0,0,0,0,1899
"421","LAKSHADWEEP",2001,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422","LAKSHADWEEP",2002,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423","LAKSHADWEEP",2003,"Total",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2
"424","LAKSHADWEEP",2004,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"425","LAKSHADWEEP",2005,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"426","LAKSHADWEEP",2006,"Total",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
"427","LAKSHADWEEP",2007,"Total",0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,3
"428","LAKSHADWEEP",2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429","LAKSHADWEEP",2009,"Total",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"430","LAKSHADWEEP",2010,"Total",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"431","LAKSHADWEEP",2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432","LAKSHADWEEP",2012,"Total",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"433","PUDUCHERRY",2001,"Total",2,82,115,84,40,323,6,120,51,22,7,206,0,0,0,0,0,0,529
"434","PUDUCHERRY",2002,"Total",5,98,159,109,39,410,3,74,41,23,16,157,0,0,0,0,0,0,567
"435","PUDUCHERRY",2003,"Total",4,114,146,88,36,388,0,126,32,18,18,194,0,0,0,0,0,0,582
"436","PUDUCHERRY",2004,"Total",1,82,121,102,32,338,4,97,65,20,15,201,0,0,0,0,0,0,539
"437","PUDUCHERRY",2005,"Total",1,75,129,105,30,340,2,101,56,19,20,198,0,0,0,0,0,0,538
"438","PUDUCHERRY",2006,"Total",5,84,137,93,30,349,8,103,38,15,13,177,0,0,0,0,0,0,526
"439","PUDUCHERRY",2007,"Total",2,73,133,88,23,319,6,120,52,8,12,198,0,0,0,0,0,0,517
"440","PUDUCHERRY",2008,"Total",2,90,122,94,26,334,0,105,46,9,13,173,0,0,0,0,0,0,507
"441","PUDUCHERRY",2009,"Total",2,91,92,103,38,326,4,103,45,27,13,192,0,0,0,0,0,0,518
"442","PUDUCHERRY",2010,"Total",2,70,141,95,25,333,3,99,42,12,19,175,0,0,0,0,0,0,508
"443","PUDUCHERRY",2011,"Total",2,93,144,122,35,396,7,86,34,17,17,161,0,0,0,0,0,0,557
"444","PUDUCHERRY",2012,"Total",1,92,127,103,49,372,4,73,54,20,18,169,0,0,0,0,0,0,541
"445","TOTAL (UTs)",2001,"Total",19,456,429,229,83,1216,37,464,232,61,21,815,0,0,0,0,0,0,2031
"446","TOTAL (UTs)",2002,"Total",24,462,448,236,74,1244,22,378,192,55,27,674,0,0,0,0,0,0,1918
"447","TOTAL (UTs)",2003,"Total",26,510,490,212,78,1316,24,421,169,73,26,713,0,0,0,0,0,0,2029
"448","TOTAL (UTs)",2004,"Total",20,489,473,248,65,1295,22,442,202,50,33,749,0,0,0,0,0,0,2044
"449","TOTAL (UTs)",2005,"Total",17,519,452,267,77,1332,19,441,220,66,34,780,0,0,0,0,0,0,2112
"450","TOTAL (UTs)",2006,"Total",18,595,548,264,74,1499,31,486,209,49,23,798,0,0,0,0,0,0,2297
"451","TOTAL (UTs)",2007,"Total",17,584,571,247,77,1496,27,533,208,41,25,834,0,0,0,0,0,0,2330
"452","TOTAL (UTs)",2008,"Total",19,529,474,242,67,1331,18,507,187,48,24,784,0,0,0,0,0,0,2115
"453","TOTAL (UTs)",2009,"Total",18,613,470,255,78,1434,32,515,203,67,30,847,0,0,0,0,0,0,2281
"454","TOTAL (UTs)",2010,"Total",25,574,543,255,96,1493,29,543,220,56,32,880,0,0,0,0,0,0,2373
"455","TOTAL (UTs)",2011,"Total",22,797,579,295,81,1774,30,505,200,68,33,836,0,0,0,0,0,0,2610
"456","TOTAL (UTs)",2012,"Total",31,791,640,279,99,1840,38,555,240,66,39,938,0,0,0,0,0,0,2778
"457","TOTAL (ALL INDIA)",2001,"Total",1498,19981,23503,15408,5924,66314,1509,18929,12945,6171,2638,42192,0,0,0,0,0,0,108506
"458","TOTAL (ALL INDIA)",2002,"Total",1306,20917,24811,15955,6343,69332,1574,18371,12701,5902,2537,41085,0,0,0,0,0,0,110417
"459","TOTAL (ALL INDIA)",2003,"Total",1278,21697,24679,16111,6456,70221,1298,18131,12338,6221,2642,40630,0,0,0,0,0,0,110851
"460","TOTAL (ALL INDIA)",2004,"Total",1467,21617,25850,17065,6652,72651,1446,18519,12446,6074,2561,41046,0,0,0,0,0,0,113697
"461","TOTAL (ALL INDIA)",2005,"Total",1328,21823,25932,17236,6597,72916,1227,18411,12251,6389,2720,40998,0,0,0,0,0,0,113914
"462","TOTAL (ALL INDIA)",2006,"Total",1194,22757,27809,17345,6597,75702,1270,19459,12890,6261,2530,42410,0,0,0,0,0,0,118112
"463","TOTAL (ALL INDIA)",2007,"Total",1184,23446,28551,19113,7001,79295,1295,19714,13281,6458,2594,43342,0,0,0,0,0,0,122637
"464","TOTAL (ALL INDIA)",2008,"Total",1165,24396,29519,18819,6645,80544,1216,20256,14043,6373,2585,44473,0,0,0,0,0,0,125017
"465","TOTAL (ALL INDIA)",2009,"Total",1501,23746,29335,19596,7293,81471,1450,20174,14153,7007,2896,45680,0,0,0,0,0,0,127151
"466","TOTAL (ALL INDIA)",2010,"Total",1640,26387,30444,20768,7941,87180,1490,21238,14402,7121,3168,47419,0,0,0,0,0,0,134599
"467","TOTAL (ALL INDIA)",2011,"Total",1574,26604,31400,20507,7754,87839,1461,21410,14815,7029,3031,47746,0,0,0,0,0,0,135585
"468","TOTAL (ALL INDIA)",2012,"Total",1120,23398,28486,19197,7572,79773,1194,18395,12129,6207,2790,40715,0,0,0,0,0,0,120488
"469","TOTAL (ALL INDIA)",2013,"Total",1546,26716,32099,21825,8357,90543,1345,19652,13507,6660,3092,44256,0,0,0,0,0,0,134799
"470","TOTAL (STATES)",2013,"Total",1518,25949,31396,21418,8198,88479,1316,19096,13283,6598,3058,43351,0,0,0,0,0,0,131830
"471","TOTAL (UTs)",2013,"Total",28,767,703,407,159,2064,29,556,224,62,34,905,0,0,0,0,0,0,2969
"472","ANDHRA PRADESH",2013,"Total",68,2847,3648,2439,900,9902,81,1923,1500,774,427,4705,0,0,0,0,0,0,14607
"473","ARUNACHAL PRADESH",2013,"Total",7,56,65,33,10,171,4,31,19,3,1,58,0,0,0,0,0,0,229
"474","ASSAM",2013,"Total",11,823,1090,604,30,2558,7,399,393,183,13,995,0,0,0,0,0,0,3553
"475","BIHAR",2013,"Total",26,176,253,126,49,630,47,181,160,32,7,427,0,0,0,0,0,0,1057
"476","CHHATTISGARH",2013,"Total",82,1301,1277,697,291,3648,92,865,459,250,122,1788,0,0,0,0,0,0,5436
"477","GOA",2013,"Total",0,82,80,48,20,230,5,46,32,7,8,98,0,0,0,0,0,0,328
"478","GUJARAT",2013,"Total",45,1495,1663,1007,322,4532,40,1257,756,389,192,2634,0,0,0,0,0,0,7166
"479","HARYANA",2013,"Total",58,771,871,627,175,2502,43,411,218,101,41,814,0,0,0,0,0,0,3316
"480","HIMACHAL PRADESH",2013,"Total",5,142,122,71,24,364,6,90,53,31,10,190,0,0,0,0,0,0,554
"481","JAMMU & KASHMIR",2013,"Total",1,38,69,44,16,168,3,65,52,9,5,134,0,0,0,0,0,0,302
"482","JHARKHAND",2013,"Total",50,318,295,249,72,984,22,206,151,80,17,476,0,0,0,0,0,0,1460
"483","KARNATAKA",2013,"Total",112,2199,2815,1907,700,7733,113,1471,1093,575,281,3533,0,0,0,0,0,0,11266
"484","KERALA",2013,"Total",38,1124,2073,2192,1274,6701,43,524,491,463,424,1945,0,0,0,0,0,0,8646
"485","MADHYA PRADESH",2013,"Total",191,2063,1834,1082,500,5670,158,2048,1011,381,178,3776,0,0,0,0,0,0,9446
"486","MAHARASHTRA",2013,"Total",91,3561,4367,2710,1163,11892,106,2385,1363,544,332,4730,0,0,0,0,0,0,16622
"487","MANIPUR",2013,"Total",1,7,10,3,1,22,2,10,2,1,0,15,0,0,0,0,0,0,37
"488","MEGHALAYA",2013,"Total",3,51,28,11,3,96,6,24,9,2,0,41,0,0,0,0,0,0,137
"489","MIZORAM",2013,"Total",3,44,20,11,1,79,2,7,4,3,0,16,0,0,0,0,0,0,95
"490","NAGALAND",2013,"Total",1,7,15,1,1,25,0,7,2,1,2,12,0,0,0,0,0,0,37
"491","ODISHA",2013,"Total",153,938,1040,770,371,3272,139,732,632,348,129,1980,0,0,0,0,0,0,5252
"492","PUNJAB",2013,"Total",6,292,224,131,60,713,6,151,63,27,12,259,0,0,0,0,0,0,972
"493","RAJASTHAN",2013,"Total",47,1114,1291,774,151,3377,27,612,514,268,62,1483,0,0,0,0,0,0,4860
"494","SIKKIM",2013,"Total",5,49,48,16,7,125,3,37,11,5,3,59,0,0,0,0,0,0,184
"495","TAMIL NADU",2013,"Total",190,2816,3816,3046,1314,11182,155,2286,1633,890,455,5419,0,0,0,0,0,0,16601
"496","TELANGANA",2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497","TRIPURA",2013,"Total",24,214,217,135,46,636,23,148,69,52,33,325,0,0,0,0,0,0,961
"498","UTTAR PRADESH",2013,"Total",112,1037,1126,689,199,3163,62,1107,625,272,57,2123,0,0,0,0,0,0,5286
"499","UTTARAKHAND",2013,"Total",4,94,92,43,11,244,7,59,39,13,3,121,0,0,0,0,0,0,365
"500","WEST BENGAL",2013,"Total",184,2290,2947,1952,487,7860,114,2014,1929,894,244,5195,0,0,0,0,0,0,13055
"501","A & N ISLANDS",2013,"Total",4,35,29,28,15,111,2,22,11,4,1,40,0,0,0,0,0,0,151
"502","CHANDIGARH",2013,"Total",0,28,18,11,2,59,1,26,9,2,0,38,0,0,0,0,0,0,97
"503","D & N HAVELI",2013,"Total",0,24,12,17,2,55,0,13,5,5,6,29,0,0,0,0,0,0,84
"504","DAMAN & DIU",2013,"Total",0,8,2,3,0,13,0,8,5,3,0,16,0,0,0,0,0,0,29
"505","DELHI (UT)",2013,"Total",21,588,510,198,100,1417,24,420,153,36,9,642,0,0,0,0,0,0,2059
"506","LAKSHADWEEP",2013,"Total",0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,3
"507","PUDUCHERRY",2013,"Total",3,84,132,150,39,408,2,66,40,12,18,138,0,0,0,0,0,0,546
"508","ANDHRA PRADESH",2014,"Total",19,1432,1622,846,301,4220,36,963,550,227,104,1880,0,1,0,0,0,1,6101
"509","ARUNACHAL PRADESH",2014,"Total",4,54,34,16,2,110,2,36,7,1,0,46,0,0,0,0,0,0,156
"510","ASSAM",2014,"Total",7,1019,915,510,59,2510,4,595,313,114,10,1036,0,0,0,0,0,0,3546
"511","BIHAR",2014,"Total",11,161,134,62,54,422,4,165,101,25,2,297,0,0,0,0,0,0,719
"512","CHHATTISGARH",2014,"Total",55,1471,1222,766,249,3763,43,1039,480,245,113,1920,0,0,0,0,0,0,5683
"513","GOA",2014,"Total",1,64,68,52,18,203,2,39,23,13,11,88,0,0,0,0,0,0,291
"514","GUJARAT",2014,"Total",28,1769,1707,829,270,4603,26,1334,765,337,160,2622,0,0,0,0,0,0,7225
"515","HARYANA",2014,"Total",32,963,913,478,136,2522,18,384,192,62,25,681,0,0,0,0,0,0,3203
"516","HIMACHAL PRADESH",2014,"Total",6,154,150,64,22,396,4,114,79,38,13,248,0,0,0,0,0,0,644
"517","JAMMU & KASHMIR",2014,"Total",3,58,54,27,8,150,0,75,26,7,0,108,0,0,0,0,0,0,258
"518","JHARKHAND",2014,"Total",21,412,273,159,25,890,24,250,98,26,12,410,0,0,0,0,0,0,1300
"519","KARNATAKA",2014,"Total",54,2803,2739,1611,477,7684,39,1557,877,595,191,3259,0,1,1,0,0,2,10945
"520","KERALA",2014,"Total",30,1126,1931,1992,1333,6412,23,649,493,434,435,2034,0,0,0,0,0,0,8446
"521","MADHYA PRADESH",2014,"Total",86,2439,1665,854,297,5341,59,2273,903,327,136,3698,0,0,0,0,0,0,9039
"522","MAHARASHTRA",2014,"Total",45,3976,4284,2490,1033,11828,70,2423,1198,482,303,4476,0,2,1,0,0,3,16307
"523","MANIPUR",2014,"Total",2,12,9,7,1,31,1,13,5,0,0,19,0,0,0,0,0,0,50
"524","MEGHALAYA",2014,"Total",2,31,25,13,4,75,3,15,5,0,1,24,0,0,0,0,0,0,99
"525","MIZORAM",2014,"Total",4,41,38,12,5,100,0,11,1,3,1,16,0,0,0,0,0,0,116
"526","NAGALAND",2014,"Total",0,4,3,1,1,9,0,3,1,0,0,4,0,0,0,0,0,0,13
"527","ODISHA",2014,"Total",25,985,680,474,164,2328,36,951,515,278,52,1832,0,0,0,0,0,0,4160
"528","PUNJAB",2014,"Total",5,316,231,132,26,710,2,121,76,27,7,233,0,0,0,0,0,0,943
"529","RAJASTHAN",2014,"Total",42,1405,1115,532,141,3235,35,660,389,111,29,1224,0,0,0,0,0,0,4459
"530","SIKKIM",2014,"Total",6,62,51,33,9,161,6,36,25,12,4,83,0,0,0,0,0,0,244
"531","TAMIL NADU",2014,"Total",101,3443,3736,2655,1028,10963,171,2413,1409,766,396,5155,0,4,0,0,0,4,16122
"532","TELANGANA",2014,"Total",25,2157,2372,1495,620,6669,38,1256,851,460,349,2954,0,0,0,0,0,0,9623
"533","TRIPURA",2014,"Total",14,195,139,100,44,492,7,147,66,32,18,270,0,0,0,0,0,0,762
"534","UTTAR PRADESH",2014,"Total",43,997,708,278,73,2099,39,1016,328,76,26,1485,0,5,0,1,0,6,3590
"535","UTTARAKHAND",2014,"Total",1,104,29,11,6,151,1,37,15,3,0,56,0,0,0,0,0,0,207
"536","WEST BENGAL",2014,"Total",203,3445,3140,1547,551,8886,102,2900,1725,493,204,5424,0,0,0,0,0,0,14310
"537","A & N ISLANDS",2014,"Total",1,35,36,24,19,115,2,26,4,2,6,40,0,0,0,0,0,0,155
"538","CHANDIGARH",2014,"Total",0,31,23,11,1,66,0,28,8,3,0,39,0,0,0,0,0,0,105
"539","D & N HAVELI",2014,"Total",1,19,12,8,5,45,0,24,4,1,2,31,0,0,0,0,0,0,76
"540","DAMAN & DIU",2014,"Total",0,11,8,2,1,22,0,3,2,0,0,5,0,0,0,0,0,0,27
"541","DELHI (UT)",2014,"Total",18,731,415,205,55,1424,23,446,148,30,24,671,0,0,0,0,0,0,2095
"542","LAKSHADWEEP",2014,"Total",0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3
"543","PUDUCHERRY",2014,"Total",4,99,177,143,69,492,1,73,40,18,20,152,0,0,0,0,0,0,644
"544","TOTAL (STATES)",2014,"Total",875,31098,29987,18046,6957,86963,795,21475,11516,5194,2602,41582,0,13,2,1,0,16,128561
"545","TOTAL (UTs)",2014,"Total",24,927,672,393,150,2166,26,600,207,54,52,939,0,0,0,0,0,0,3105
"546","TOTAL (ALL INDIA)",2014,"Total",899,32025,30659,18439,7107,89129,821,22075,11723,5248,2654,42521,0,13,2,1,0,16,131666
