STATE.UT,Year,Total_Population,Male_Population,Female_Population,HDI,Total_suicide,Male_Suicide,Female_suicide,id,total_suicide_rate,male_suicide_rate,female_suicide_rate,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above
TAMIL NADU,2007,67797350,34137638,33659711,0.621,13811,8687,5124,31,20.3710027,25.44698611,15.2229471,30,2311,3237,2237,872,83,2102,1702,918,319
TAMIL NADU,2008,68794452,34639704,34154748,0.629,14425,9043,5382,31,20.96826064,26.10588127,15.75769202,30,2563,3265,2314,871,83,2215,1781,964,339
TAMIL NADU,2009,69806219,35149154,34657066,0.635,14424,8950,5474,31,20.66291543,25.46291726,15.79475885,136,2361,3174,2249,1030,144,2077,1769,1019,465
TAMIL NADU,2010,70832866,35666096,35166771,0.646,16561,10552,6009,31,23.38038955,29.5855201,17.0871531,199,2966,3512,2579,1296,185,2504,1794,1029,497
TAMIL NADU,2011,71874612,36190641,35683972,0.656,15963,10282,5681,31,22.2095112,28.41066009,15.92031291,159,2736,3977,2405,1005,196,2419,1826,826,414
TAMIL NADU,2012,72931680,36722900,36208779,0.666,16927,10748,6179,31,23.20939268,29.26784105,17.06492229,149,2763,3896,2651,1289,182,2547,1777,1114,559
TAMIL NADU,2013,74004293,37262987,36741306,0.672,16601,11182,5419,31,22.4324824,30.00832971,14.74906744,190,2816,3816,3046,1314,155,2286,1633,890,455
TAMIL NADU,2014,75092682,37811018,37281664,0.682,16122,10963,5155,31,21.46946889,28.99419423,13.82717252,101,3443,3736,2655,1028,171,2413,1409,766,396
TELANGANA,2001,0,0,0,0.628,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2002,0,0,0,0.63,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2003,0,0,0,0.641,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2004,0,0,0,0.647,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2005,0,0,0,0.652,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2006,0,0,0,0.658,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2007,0,0,0,0.654,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2008,0,0,0,0.648,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2009,0,0,0,0.64,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2010,0,0,0,0.638,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2011,0,0,0,0.635,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2012,0,0,0,0.633,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2013,0,0,0,0.637,0,0,0,32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TELANGANA,2014,35003674,18108471,16895203,0.646,9623,6669,2954,32,27.4913999,36.82806792,17.48425278,25,2157,2372,1495,620,38,1256,851,460,349
TOTAL (ALL INDIA),2001,1075000000,559040000,515959000,0.502,108506,66314,42192,37,10.0935814,11.86212078,8.17739394,1498,19981,23503,15408,5924,1509,18929,12945,6171,2638
TOTAL (ALL INDIA),2002,1093317000,568642000,524676000,0.508,110417,69332,41085,37,10.09926673,12.192557,7.830546852,1306,20917,24811,15955,6343,1574,18371,12701,5902,2537
TOTAL (ALL INDIA),2003,1111523000,578175000,533346000,0.521,110851,70221,40630,37,9.972893049,12.14528473,7.617944074,1278,21697,24679,16111,6456,1298,18131,12338,6221,2642
TOTAL (ALL INDIA),2004,1129623000,587650000,541974000,0.53,113697,72651,41046,37,10.0650394,12.36297116,7.573426032,1467,21617,25850,17065,6652,1446,18519,12446,6074,2561
TOTAL (ALL INDIA),2005,1147610000,597053000,550558000,0.539,113914,72916,40998,37,9.926194439,12.21265114,7.446626877,1328,21823,25932,17236,6597,1227,18411,12251,6389,2720
TOTAL (ALL INDIA),2006,1165486000,606386000,559099000,0.548,118112,75702,42410,37,10.13414147,12.48412727,7.585418683,1194,22757,27809,17345,6597,1270,19459,12890,6261,2530
TOTAL (ALL INDIA),2007,1183209000,615631000,567578000,0.558,122637,79295,43342,37,10.36477917,12.88028056,7.636307256,1184,23446,28551,19113,7001,1295,19714,13281,6458,2594
TOTAL (ALL INDIA),2008,1200670000,624722000,575949000,0.565,125017,80544,44473,37,10.41226982,12.89277471,7.721690636,1165,24396,29519,18819,6645,1216,20256,14043,6373,2585
TOTAL (ALL INDIA),2009,1217726000,633585000,584142000,0.571,127151,81471,45680,37,10.44167571,12.85873245,7.820016366,1501,23746,29335,19596,7293,1450,20174,14153,7007,2896
TOTAL (ALL INDIA),2010,1234281000,642165000,592116000,0.582,134599,87180,47419,37,10.90505323,13.57595011,8.008397003,1640,26387,30444,20768,7941,1490,21238,14402,7121,3168
TOTAL (ALL INDIA),2011,1250288000,650438000,599853000,0.59,135585,87839,47746,37,10.84430147,13.50459229,7.959616773,1574,26604,31400,20507,7754,1461,21410,14815,7029,3031
TOTAL (ALL INDIA),2012,1265780000,658420000,607361000,0.6,120488,79773,40715,37,9.518873738,12.11582273,6.703591439,1120,23398,28486,19197,7572,1194,18395,12129,6207,2790
TOTAL (ALL INDIA),2013,1280842000,666165000,614676000,0.607,134799,90543,44256,37,10.52424889,13.59167774,7.199890674,1546,26716,32099,21825,8357,1345,19652,13507,6660,3092
TOTAL (ALL INDIA),2014,1295601000,673748000,621852000,0.618,131666,89129,42521,37,10.16254233,13.22883333,6.837800634,899,32025,30659,18439,7107,821,22075,11723,5248,2654
TRIPURA,2001,3191000,1636410,1554590,0.533,854,463,391,33,26.76277029,28.29364279,25.15132607,1479,19525,23074,15179,5841,1472,18465,12713,6110,2617
TRIPURA,2002,3235665,1659315,1576349,0.537,779,493,286,33,24.0754219,29.71105547,18.14319037,1282,20455,24363,15719,6269,1552,17993,12509,5847,2510
TRIPURA,2003,3280954,1682541,1598414,0.548,844,488,356,33,25.72422533,29.00375087,22.2720772,1252,21187,24189,15899,6378,1274,17710,12169,6148,2616
TRIPURA,2004,3326878,1706091,1620787,0.554,770,433,337,33,23.14482226,25.37965443,20.79236815,1447,21128,25377,16817,6587,1424,18077,12244,6024,2528
TRIPURA,2005,3373445,1729972,1643473,0.561,715,401,314,33,21.19495056,23.17956591,19.10588126,1311,21304,25480,16969,6520,1208,17970,12031,6323,2686
TRIPURA,2006,3420663,1754186,1666477,0.568,765,428,337,33,22.36408556,24.39878097,20.2223013,1176,22162,27261,17081,6523,1239,18973,12681,6212,2507
TRIPURA,2007,3468542,1778740,1689803,0.579,705,419,286,33,20.32554312,23.55600031,16.92504984,1167,22862,27980,18866,6924,1268,19181,13073,6417,2569
TRIPURA,2008,3517091,1803637,1713455,0.589,752,442,310,33,21.38130631,24.50603974,18.09210046,1146,23867,29045,18577,6578,1198,19749,13856,6325,2561
TRIPURA,2009,3566320,1828882,1737438,0.596,738,467,271,33,20.69360013,25.53472559,15.59767888,1483,23133,28865,19341,7215,1418,19659,13950,6940,2866
TRIPURA,2010,3616238,1854481,1761757,0.608,725,441,284,33,20.0484592,23.78023824,16.12027084,1615,25813,29901,20513,7845,1461,20695,14182,7065,3136
TRIPURA,2011,3666855,1880438,1786417,0.619,703,447,256,33,19.17174254,23.77105759,14.33036072,1552,25807,30821,20212,7673,1431,20905,14615,6961,2998
TRIPURA,2012,3718180,1906759,1811421,0.63,844,560,284,33,22.6992776,29.36920712,15.67829897,1089,22607,27846,18918,7473,1156,17840,11889,6141,2751
TRIPURA,2013,3770224,1933448,1836776,0.633,961,636,325,33,25.4892017,32.89460073,17.69404652,1518,25949,31396,21418,8198,1316,19096,13283,6598,3058
TRIPURA,2014,3822996,1960511,1862485,0.639,762,492,270,33,19.93201144,25.09549806,14.49676105,875,31098,29987,18046,6957,795,21475,11516,5194,2602
UTTAR PRADESH,2001,166053000,87488409,78564591,0.468,3516,1801,1715,34,2.117396253,2.058558409,2.182917238,19,456,429,229,83,37,464,232,61,21
UTTAR PRADESH,2002,169153572,89122009,80031564,0.474,4250,2326,1924,34,2.512509757,2.609905259,2.404051481,24,462,448,236,74,22,378,192,55,27
UTTAR PRADESH,2003,172312039,90786111,81525928,0.487,3663,1987,1676,34,2.125794588,2.188660774,2.0557877,26,510,490,212,78,24,421,169,73,26
UTTAR PRADESH,2004,175529481,92481286,83048195,0.496,3637,1954,1683,34,2.072016609,2.112859893,2.026534111,20,489,473,248,65,22,442,202,50,33
UTTAR PRADESH,2005,178807000,94208114,84598886,0.504,3449,1772,1677,34,1.928895401,1.880942017,1.982295606,17,519,452,267,77,19,441,220,66,34
UTTAR PRADESH,2006,182145718,95967185,86178532,0.513,3099,1761,1338,34,1.701385042,1.835002246,1.552590847,18,595,548,264,74,31,486,209,49,23
UTTAR PRADESH,2007,185546776,97759102,87787674,0.52,3927,2054,1873,34,2.116447445,2.10108313,2.133556927,17,584,571,247,77,27,533,208,41,25
UTTAR PRADESH,2008,189011340,99584479,89426862,0.525,4088,2179,1909,34,2.162833193,2.188091982,2.134705342,19,529,474,242,67,18,507,187,48,24
UTTAR PRADESH,2009,192540595,101443938,91096657,0.528,4158,2239,1919,34,2.159544589,2.207130405,2.106553702,18,613,470,255,78,32,515,203,67,30
UTTAR PRADESH,2010,196135749,103338118,92797630,0.535,3628,1787,1841,34,1.849739284,1.729274768,1.983886873,25,574,543,255,96,29,543,220,56,32
UTTAR PRADESH,2011,199798032,105267667,94530365,0.542,4843,2713,2130,34,2.423947799,2.5772396,2.253244235,22,797,579,295,81,30,505,200,68,33
UTTAR PRADESH,2012,203528697,107233244,96295453,0.548,4422,2495,1927,34,2.17266659,2.326703834,2.001132909,31,791,640,279,99,38,555,240,66,39
UTTAR PRADESH,2013,207329023,109235523,98093500,0.556,5286,3163,2123,34,2.549570689,2.895578209,2.164261648,28,767,703,407,159,29,556,224,62,34
UTTAR PRADESH,2014,211200309,111275189,99925120,0.568,3590,2099,1485,34,1.699808119,1.886314478,1.486112801,24,927,672,393,150,26,600,207,54,52
UTTARAKHAND,2001,8480000,4317719,4162281,0.631,311,182,129,35,3.66745283,4.215188622,3.099262159,18,131,194,87,33,12,108,187,62,22
UTTARAKHAND,2002,8631432,4394823,4236609,0.633,361,205,156,35,4.182388276,4.664579211,3.682190167,13,173,179,102,26,14,127,92,38,15
UTTARAKHAND,2003,8785569,4473304,4312265,0.644,391,262,129,35,4.4504801,5.856968362,2.991467361,7,198,188,91,4,8,140,142,62,4
UTTARAKHAND,2004,8942458,4553186,4389271,0.65,237,148,89,35,2.650278033,3.250471209,2.027671566,5,204,134,77,13,22,183,105,20,7
UTTARAKHAND,2005,9102148,4634495,4467653,0.656,273,180,93,35,2.999292035,3.883918313,2.081629885,10,149,127,83,32,16,174,78,38,8
UTTARAKHAND,2006,9264690,4717256,4547435,0.663,326,173,153,35,3.518736191,3.667386294,3.364534073,11,145,167,78,27,11,168,118,34,6
UTTARAKHAND,2007,9430135,4801495,4628641,0.658,248,130,118,35,2.629866911,2.707490063,2.549344397,26,148,141,94,10,22,116,100,41,7
UTTARAKHAND,2008,9598535,4887238,4711297,0.651,191,104,87,35,1.989886998,2.127991311,1.84662525,9,152,167,89,25,14,143,96,51,6
UTTARAKHAND,2009,9769941,4974512,4795429,0.643,342,202,140,35,3.50053291,4.060699823,2.919446832,9,187,154,95,22,10,158,62,31,10
UTTARAKHAND,2010,9944409,5063345,4881064,0.641,281,164,117,35,2.825708396,3.238965546,2.397018355,16,127,142,91,65,18,108,80,49,29
UTTARAKHAND,2011,10121992,5153764,4968228,0.638,317,192,125,35,3.131794611,3.725432519,2.515987592,5,202,133,68,39,5,133,53,38,27
UTTARAKHAND,2012,10302746,5245797,5056949,0.635,424,249,175,35,4.115407679,4.746657181,3.460584633,16,170,211,112,51,15,116,85,37,31
UTTARAKHAND,2013,10486728,5339474,5147253,0.643,365,244,121,35,3.480589942,4.569738517,2.350768458,24,214,217,135,46,23,148,69,52,33
UTTARAKHAND,2014,10673995,5434825,5239171,0.655,207,151,56,35,1.939292645,2.778378329,1.068871392,14,195,139,100,44,7,147,66,32,18
WEST BENGAL,2001,80221000,41479317,38741683,0.508,13690,7495,6195,36,17.06535695,18.06924642,15.99052886,73,716,545,330,137,63,870,537,175,70
WEST BENGAL,2002,81278809,42026271,39252537,0.513,13007,7124,5883,36,16.00294118,16.95130172,14.98756628,55,853,766,462,190,208,859,521,240,96
WEST BENGAL,2003,82350566,42580437,39770128,0.524,13280,7424,5856,36,16.12617939,17.43523675,14.72461944,82,763,622,363,157,74,852,430,223,97
WEST BENGAL,2004,83436455,43141911,40294545,0.531,13424,7661,5763,36,16.08889064,17.7576742,14.30218408,85,737,647,355,130,67,922,446,184,64
WEST BENGAL,2005,84536663,43710788,40825876,0.539,15015,8614,6401,36,17.76152437,19.70680556,15.67878176,58,567,613,369,165,59,864,473,208,73
WEST BENGAL,2006,85651379,44287166,41364213,0.546,15725,9120,6605,36,18.35930744,20.59287334,15.96790926,65,629,673,276,118,54,737,362,120,65
WEST BENGAL,2007,86780794,44871145,41909649,0.554,14860,8505,6355,36,17.12360456,18.95427451,15.16357247,50,695,628,465,216,69,990,557,156,101
WEST BENGAL,2008,87925101,45462824,42462277,0.559,14852,8369,6483,36,16.89164963,18.40844731,15.26766923,60,768,758,419,174,69,1083,519,151,87
WEST BENGAL,2009,89084497,46062305,43022193,0.564,14648,8494,6154,36,16.44281608,18.44024089,14.30424525,51,836,765,418,169,62,1069,531,161,96
WEST BENGAL,2010,90259181,46669691,43589491,0.572,16037,9301,6736,36,17.7677216,19.92942272,15.45326602,46,672,580,347,142,58,1027,505,172,79
WEST BENGAL,2011,91449355,47285086,44164270,0.579,16492,9624,6868,36,18.0340255,20.35314052,15.55103254,45,967,997,518,186,59,1170,616,201,84
WEST BENGAL,2012,92655223,47908595,44746628,0.587,0,0,0,36,0,0,0,31,845,842,574,203,54,989,591,218,75
WEST BENGAL,2013,93876992,48540327,45336665,0.596,13055,7860,5195,36,13.90649585,16.19272157,11.45871669,112,1037,1126,689,199,62,1107,625,272,57
WEST BENGAL,2014,95114871,49180388,45934483,0.609,14310,8886,5424,36,15.044966,18.06817791,11.80812245,43,997,708,278,73,39,1016,328,76,26
,,,,,,,,,,,,,3,41,91,42,5,4,72,41,10,2
,,,,,,,,,,,,,8,89,60,32,16,8,80,50,15,3
,,,,,,,,,,,,,0,111,91,55,5,3,77,32,14,3
,,,,,,,,,,,,,8,59,53,21,7,2,55,22,10,0
,,,,,,,,,,,,,0,76,66,29,9,4,54,26,9,0
,,,,,,,,,,,,,0,51,70,39,13,5,77,55,13,3
,,,,,,,,,,,,,2,53,60,14,1,8,63,35,8,4
,,,,,,,,,,,,,8,37,35,20,4,3,61,15,8,0
,,,,,,,,,,,,,2,77,55,57,11,3,79,42,15,1
,,,,,,,,,,,,,4,62,57,29,12,7,69,30,9,2
,,,,,,,,,,,,,5,69,73,34,11,1,69,44,10,1
,,,,,,,,,,,,,7,73,106,47,16,9,100,47,12,7
,,,,,,,,,,,,,4,94,92,43,11,7,59,39,13,3
,,,,,,,,,,,,,1,104,29,11,6,1,37,15,3,0
,,,,,,,,,,,,,283,2027,2426,2046,713,283,2254,2015,1170,473
,,,,,,,,,,,,,283,2215,2354,1711,561,294,2158,1988,1084,359
,,,,,,,,,,,,,61,2396,2618,1770,579,98,2282,1895,1191,390
,,,,,,,,,,,,,284,2355,2550,1909,563,289,2370,1936,916,252
,,,,,,,,,,,,,214,2962,2901,2008,529,205,2780,1919,1178,319
,,,,,,,,,,,,,150,3037,3475,1893,565,184,2998,1913,1234,276
,,,,,,,,,,,,,217,2646,3206,1940,496,202,2730,2178,1013,232
,,,,,,,,,,,,,275,2806,3327,1593,368,241,3004,2160,902,176
,,,,,,,,,,,,,235,2407,3409,1980,463,218,2725,2131,884,196
,,,,,,,,,,,,,268,2676,3495,2304,558,212,2626,2377,1231,290
,,,,,,,,,,,,,284,2521,3792,2296,731,258,2713,2326,1161,410
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,184,2290,2947,1952,487,114,2014,1929,894,244
,,,,,,,,,,,,,203,3445,3140,1547,551,102,2900,1725,493,204
